Year,gdp
1990,3.18E+11
1991,3.28E+11
1992,3.63E+11
1993,3.54E+11
1994,3.79E+11
1995,4.52E+11
1996,4.50E+11
1997,4.17E+11
1998,4.38E+11
1999,4.47E+11
2000,4.17E+11
2001,4.32E+11
2002,4.74E+11
2003,5.80E+11
2004,6.58E+11
2005,6.85E+11
2006,7.34E+11
2007,8.49E+11
2008,9.52E+11
2009,8.72E+11
2010,8.47E+11
2011,9.05E+11
2012,8.39E+11
2013,8.77E+11
2014,8.92E+11
2015,7.66E+11
2016,7.84E+11
2017,8.34E+11
2018,9.14E+11
2019,9.10E+11
2020,9.10E+11
2021,1.01E+12
