Year,gdp
1990,3.61E+11
1991,3.83E+11
1992,4.27E+11
1993,4.45E+11
1994,5.64E+11
1995,7.35E+11
1996,8.64E+11
1997,9.62E+11
1998,1.03E+12
1999,1.09E+12
2000,1.21E+12
2001,1.34E+12
2002,1.47E+12
2003,1.66E+12
2004,1.96E+12
2005,2.29E+12
2006,2.75E+12
2007,3.55E+12
2008,4.59E+12
2009,5.10E+12
2010,6.09E+12
2011,7.55E+12
2012,8.53E+12
2013,9.57E+12
2014,1.05E+13
2015,1.11E+13
2016,1.12E+13
2017,1.23E+13
2018,1.39E+13
2019,1.43E+13
2020,1.47E+13
2021,1.77E+13
