Year,gdp
1990,1.26E+11
1991,1.35E+11
1992,1.47E+11
1993,1.47E+11
1994,1.54E+11
1995,1.72E+11
1996,1.63E+11
1997,1.69E+11
1998,1.53E+11
1999,1.52E+11
2000,1.52E+11
2001,1.35E+11
2002,1.29E+11
2003,1.97E+11
2004,2.56E+11
2005,2.89E+11
2006,3.04E+11
2007,3.33E+11
2008,3.16E+11
2009,3.30E+11
2010,4.17E+11
2011,4.58E+11
2012,4.34E+11
2013,4.01E+11
2014,3.81E+11
2015,3.47E+11
2016,3.24E+11
2017,3.81E+11
2018,4.04E+11
2019,3.89E+11
2020,3.38E+11
2021,4.19E+11
