Year,gdp
1990,1.27E+12
1991,1.27E+12
1992,1.40E+12
1993,1.32E+12
1994,1.39E+12
1995,1.60E+12
1996,1.61E+12
1997,1.45E+12
1998,1.50E+12
1999,1.49E+12
2000,1.37E+12
2001,1.38E+12
2002,1.50E+12
2003,1.84E+12
2004,2.12E+12
2005,2.20E+12
2006,2.32E+12
2007,2.66E+12
2008,2.93E+12
2009,2.70E+12
2010,2.65E+12
2011,2.87E+12
2012,2.68E+12
2013,2.81E+12
2014,2.86E+12
2015,2.44E+12
2016,2.47E+12
2017,2.60E+12
2018,2.79E+12
2019,2.73E+12
2020,2.64E+12
2021,2.96E+12
