Year,gdp
1990,1.77E+12
1991,1.87E+12
1992,2.13E+12
1993,2.07E+12
1994,2.21E+12
1995,2.59E+12
1996,2.50E+12
1997,2.21E+12
1998,2.24E+12
1999,2.19E+12
2000,1.95E+12
2001,1.95E+12
2002,2.08E+12
2003,2.50E+12
2004,2.81E+12
2005,2.85E+12
2006,2.99E+12
2007,3.43E+12
2008,3.75E+12
2009,3.41E+12
2010,3.40E+12
2011,3.75E+12
2012,3.53E+12
2013,3.73E+12
2014,3.89E+12
2015,3.36E+12
2016,3.47E+12
2017,3.69E+12
2018,3.97E+12
2019,3.89E+12
2020,3.89E+12
2021,4.26E+12
