Year,gdp
1990,5.37E+11
1991,5.77E+11
1992,6.31E+11
1993,5.25E+11
1994,5.31E+11
1995,6.15E+11
1996,6.43E+11
1997,5.90E+11
1998,6.19E+11
1999,6.35E+11
2000,5.98E+11
2001,6.28E+11
2002,7.09E+11
2003,9.07E+11
2004,1.07E+12
2005,1.15E+12
2006,1.26E+12
2007,1.47E+12
2008,1.63E+12
2009,1.49E+12
2010,1.42E+12
2011,1.48E+12
2012,1.32E+12
2013,1.36E+12
2014,1.37E+12
2015,1.20E+12
2016,1.23E+12
2017,1.31E+12
2018,1.42E+12
2019,1.39E+12
2020,1.28E+12
2021,1.43E+12
