Year,gdp
1990,1.18E+12
1991,1.25E+12
1992,1.32E+12
1993,1.06E+12
1994,1.10E+12
1995,1.17E+12
1996,1.31E+12
1997,1.24E+12
1998,1.27E+12
1999,1.25E+12
2000,1.15E+12
2001,1.17E+12
2002,1.28E+12
2003,1.58E+12
2004,1.81E+12
2005,1.86E+12
2006,1.95E+12
2007,2.21E+12
2008,2.41E+12
2009,2.20E+12
2010,2.14E+12
2011,2.29E+12
2012,2.09E+12
2013,2.14E+12
2014,2.16E+12
2015,1.84E+12
2016,1.88E+12
2017,1.96E+12
2018,2.09E+12
2019,2.01E+12
2020,1.90E+12
2021,2.11E+12
